Date,AAPL,MSFT,GOOGL,^GSPC,BRK-A,AMZN
2013-01-02 00:00:00-05:00,16.747722625732422,22.532846450805664,18.099348068237305,1462.4200439453125,139610.0,12.865500450134277
2013-01-03 00:00:00-05:00,16.53632926940918,22.23099708557129,18.109859466552734,1459.3699951171875,140549.0,12.923999786376953
2013-01-04 00:00:00-05:00,16.075721740722656,21.814929962158203,18.46771812438965,1466.469970703125,140803.0,12.957500457763672
2013-01-07 00:00:00-05:00,15.981149673461914,21.774141311645508,18.387136459350586,1461.8900146484375,140190.0,13.42300033569336
2013-01-08 00:00:00-05:00,16.024158477783203,21.65992546081543,18.35085105895996,1457.1500244140625,141000.0,13.319000244140625
2013-01-09 00:00:00-05:00,15.773721694946289,21.78229522705078,18.471471786499023,1461.02001953125,140000.0,13.317500114440918
2013-01-10 00:00:00-05:00,15.969258308410645,21.586496353149414,18.55555534362793,1472.1199951171875,141768.0,13.267000198364258
2013-01-11 00:00:00-05:00,15.87134075164795,21.888351440429688,18.518268585205078,1472.050048828125,141525.0,13.397000312805176
2013-01-14 00:00:00-05:00,15.305485725402832,21.937305450439453,18.099348068237305,1470.6800537109375,143000.0,13.636500358581543
2013-01-15 00:00:00-05:00,14.822601318359375,22.198362350463867,18.14139175415039,1472.3399658203125,143205.0,13.595000267028809
2013-01-16 00:00:00-05:00,15.437872886657715,22.05967903137207,17.897647857666016,1472.6300048828125,142964.0,13.446499824523926
2013-01-17 00:00:00-05:00,15.333852767944336,22.23099708557129,17.800800323486328,1480.93994140625,143484.0,13.52400016784668
2013-01-18 00:00:00-05:00,15.25209903717041,22.23099708557129,17.630380630493164,1485.97998046875,143502.0,13.605999946594238
2013-01-22 00:00:00-05:00,15.397607803344727,22.149417877197266,17.589338302612305,1492.56005859375,144805.0,13.509499549865723
2013-01-23 00:00:00-05:00,15.679465293884277,22.52469253540039,18.556055068969727,1494.81005859375,145568.0,13.405500411987305
2013-01-24 00:00:00-05:00,13.742145538330078,22.54100799560547,18.87412452697754,1494.8199462890625,146227.0,13.67300033569336
2013-01-25 00:00:00-05:00,13.418187141418457,22.744966506958008,18.860610961914062,1502.9599609375,147290.0,14.19950008392334
2013-01-28 00:00:00-05:00,13.721705436706543,22.769439697265625,18.787036895751953,1500.1800537109375,146720.0,13.802000045776367
2013-01-29 00:00:00-05:00,13.97916030883789,22.85101890563965,18.86086082458496,1507.8399658203125,146495.0,13.017499923706055
2013-01-30 00:00:00-05:00,13.935234069824219,22.720495223999023,18.864614486694336,1501.9599609375,145505.0,13.637999534606934
2013-01-31 00:00:00-05:00,13.89436149597168,22.3941593170166,18.911161422729492,1498.1099853515625,145875.0,13.274999618530273
2013-02-01 00:00:00-05:00,13.83731746673584,22.785751342773438,19.409408569335938,1513.1700439453125,147086.0,13.25
2013-02-04 00:00:00-05:00,13.492619514465332,22.386005401611328,18.99449348449707,1495.7099609375,145010.0,12.99899959564209
2013-02-05 00:00:00-05:00,13.966049194335938,22.434946060180664,19.162662506103516,1511.2900390625,146825.0,13.344499588012695
2013-02-06 00:00:00-05:00,13.951099395751953,22.30441665649414,19.273523330688477,1512.1199951171875,146735.0,13.111000061035156
2013-02-07 00:00:00-05:00,14.365921974182129,22.25547218322754,19.368118286132812,1509.3900146484375,146260.0,13.011500358581543
2013-02-08 00:00:00-05:00,14.573328971862793,22.475744247436523,19.65390396118164,1517.9300537109375,146374.0,13.09749984741211
2013-02-11 00:00:00-05:00,14.725201606750488,22.72864532470703,19.580080032348633,1517.010009765625,145835.0,12.86050033569336
2013-02-12 00:00:00-05:00,14.35610294342041,22.744966506958008,19.537036895751953,1519.4300537109375,147125.0,12.9350004196167
2013-02-13 00:00:00-05:00,14.328794479370117,22.867340087890625,19.59109115600586,1520.3299560546875,147750.0,13.47350025177002
2013-02-14 00:00:00-05:00,14.315906524658203,22.875497817993164,19.7152156829834,1521.3800048828125,149240.0,13.461999893188477
2013-02-15 00:00:00-05:00,14.118620872497559,22.85101890563965,19.842092514038086,1519.7900390625,150141.0,13.254500389099121
2013-02-19 00:00:00-05:00,14.113405227661133,23.0731143951416,20.19144058227539,1530.93994140625,152498.0,13.487500190734863
2013-02-20 00:00:00-05:00,13.77160930633545,22.925050735473633,19.831331253051758,1511.949951171875,151000.0,13.320500373840332
2013-02-21 00:00:00-05:00,13.686002731323242,22.612470626831055,19.908157348632812,1502.4200439453125,150500.0,13.29699993133545
2013-02-22 00:00:00-05:00,13.831741333007812,22.83456039428711,20.01276206970215,1515.5999755859375,152009.0,13.270999908447266
2013-02-25 00:00:00-05:00,13.585982322692871,22.513761520385742,19.789039611816406,1487.8499755859375,149900.0,12.993499755859375
2013-02-26 00:00:00-05:00,13.775290489196777,22.513761520385742,19.77302360534668,1496.93994140625,148320.0,12.968000411987305
2013-02-27 00:00:00-05:00,13.640290260314941,22.87569236755371,20.014514923095703,1515.989990234375,151916.0,13.162500381469727
2013-02-28 00:00:00-05:00,13.543027877807617,22.867467880249023,20.050050735473633,1514.6800537109375,152600.0,13.213500022888184
2013-03-01 00:00:00-05:00,13.207672119140625,22.990856170654297,20.174924850463867,1518.199951171875,152750.0,13.286999702453613
2013-03-04 00:00:00-05:00,12.887968063354492,23.15537452697754,20.55805778503418,1525.199951171875,152955.0,13.655500411987305
2013-03-05 00:00:00-05:00,13.228230476379395,23.319883346557617,20.985986709594727,1539.7900390625,154425.0,13.779500007629395
2013-03-06 00:00:00-05:00,13.060094833374023,23.106021881103516,20.80530548095703,1541.4599609375,155095.0,13.689499855041504
